partido;zona;votos
UNIÃO;31;1500.0
UNIÃO;32;1925.0
UNIÃO;33;530.0
UNIÃO;331;4690.0
UNIÃO;332;2725.0
UNIÃO;333;3494.0
UNIÃO;334;3570.0
UNIÃO;34;1538.0
UNIÃO;35;1077.0
UNIÃO;36;4557.0
UNIÃO;37;3482.0
UNIÃO;38;1287.0
UNIÃO;39;2433.0
UP;26;331.0
UP;27;161.0
UP;28;155.0
UP;29;221.0
UP;30;154.0
UP;31;291.0
UP;32;259.0
UP;33;237.0
UP;331;169.0
UP;332;247.0
UP;333;256.0
UP;334;237.0
UP;34;234.0
UP;35;223.0
UP;36;120.0
UP;37;121.0
UP;38;133.0
UP;39;262.0
