partido;zona;votos;percentual
REPUBLICANOS;334;21146.0;0.00501045048323859
PSD;29;21143.0;0.005009739646605198
PSD;36;19019.0;0.004506467310163376
REPUBLICANOS;31;18220.0;0.004317147820136533
REPUBLICANOS;331;17552.0;0.004158868196434491
REPUBLICANOS;38;17370.0;0.004115744107342018
REPUBLICANOS;332;15791.0;0.00374160709263315
REPUBLICANOS;29;15689.0;0.003717438647097808
REPUBLICANOS;39;15589.0;0.0036937440926513945
REPUBLICANOS;28;15031.0;0.0035615284788404074
PSD;33;14954.0;0.003543283671916669
MDB;39;14832.0;0.003514376315492045
REPUBLICANOS;36;14667.0;0.0034752803006554626
REPUBLICANOS;37;14661.0;0.0034738586273886777
NOVO;34;13258.0;0.003141424028505497
REPUBLICANOS;27;13024.0;0.0030859787711008894
REPUBLICANOS;35;12490.0;0.0029594498503570416
MDB;34;12477.0;0.0029563695582790076
MDB;31;12168.0;0.00288315338503959
MDB;35;12066.0;0.0028589849395042484
MDB;332;12056.0;0.002856615484059607
REPUBLICANOS;32;11961.0;0.002834105657335514
MDB;334;11374.0;0.002695018622735067
PODE;334;11288.0;0.0026746413059111516
PT;34;11248.0;0.0026651634841325864
REPUBLICANOS;30;11148.0;0.0026414689296861728
PT;35;11089.0;0.0026274891425627886
PODE;38;10845.0;0.00256967442971354
PODE;29;10731.0;0.0025426626376446287
PT;333;10701.0;0.0025355542713107046
PT;26;10655.0;0.0025246547762653544
MDB;333;10369.0;0.002456888350548612
PT;334;10187.0;0.0024137642614561394
MDB;32;9954.0;0.002358555949595996
PT;332;9889.0;0.0023431544892058274
PDT;31;9886.0;0.002342443652572435
PDT;26;9813.0;0.002325146627826553
MDB;28;9775.0;0.002316142697136916
MDB;26;9565.0;0.002266384132799448
PT;29;9132.0;0.0021637867120464773
PDT;332;9062.0;0.002147200523933988
PT;31;9028.0;0.002139144375422207
PDT;334;8958.0;0.0021225581873097177
PODE;28;8874.0;0.0021026547615747306
MDB;29;8798.0;0.0020846469001954563
PT;33;8754.0;0.0020742212962390344
REPUBLICANOS;34;8725.0;0.0020673498754495744
MDB;27;8668.0;0.002053843979415119
MDB;30;8546.0;0.0020249366229904944
MDB;331;8526.0;0.002020197712101212
NOVO;332;8421.0;0.0019953184299324775
MDB;33;8419.0;0.001994844538843549
PDT;34;8332.0;0.0019742302764751696
PDT;32;8205.0;0.0019441381923282245
PDT;35;8067.0;0.001911439707192174
PT;32;8040.0;0.0019050421774916423
PT;30;7867.0;0.001864050598299347
PDT;29;7713.0;0.0018275609844518703
REPUBLICANOS;26;7687.0;0.0018214004002958027
PC do B;331;7665.0;0.0018161875983175918
SOLIDARIEDADE;38;7573.0;0.0017943886082268914
NOVO;33;7484.0;0.0017733004547695835
PDT;39;7450.0;0.001765244306257803
DC;28;7404.0;0.0017543448112124528
NOVO;35;7368.0;0.001745814771611744
PP;27;7346.0;0.001740601969633533
MDB;38;7284.0;0.0017259113458767566
MDB;37;7225.0;0.0017119315587533726
PDT;30;7210.0;0.0017083773755864106
PDT;27;7151.0;0.0016943975884630266
PT;36;6952.0;0.0016472454251146638
PODE;333;6880.0;0.001630185345913246
PT;39;6764.0;0.0016026996627554065
PT;27;6652.0;0.0015761617617754235
PDT;333;6630.0;0.0015709489597972126
PRD;333;6615.0;0.0015673947766302505
PDT;33;6569.0;0.0015564952815849003
PT;37;6564.0;0.0015553105538625796
PT;28;6510.0;0.0015425154944615164
PDT;331;6314.0;0.001496074167746546
SOLIDARIEDADE;39;6279.0;0.0014877810736903013
PRD;37;6133.0;0.0014531870241985376
PP;332;6102.0;0.0014458417123201495
AVANTE;29;6049.0;0.0014332835984635502
MDB;36;6010.0;0.0014240427222294491
PODE;26;5980.0;0.001416934355895525
PP;32;5969.0;0.0014143279549064195
PP;331;5921.0;0.001402954568772141
PDT;28;5687.0;0.0013475093113675335
PT;38;5609.0;0.001329027558899331
PMB;28;5579.0;0.001321919192565407
MOBILIZA;333;5554.0;0.0013159955539538038
PSOL;26;5543.0;0.0013133891529646983
PODE;31;5472.0;0.0012965660193077447
PDT;37;5465.0;0.0012949074004964956
PP;37;5416.0;0.001283297068817753
PSOL;34;5410.0;0.0012818753955509683
MOBILIZA;27;5389.0;0.0012768995391172215
PDT;38;5356.0;0.0012690803361499051
PP;334;5252.0;0.001244437999525635
PT;331;5232.0;0.0012396990886363523
