,id,nome,area,zona,cor_por_zona
286,9,Baleia,3.621,35,90
287,403,Vila Califórnia,0.109,29,30
288,482,Conjunto Califórnia I,0.298,29,30
289,303,Cônego Pinheiro,0.015,35,90
290,304,Cônego Pinheiro A,0.008,35,90
291,347,Marmiteiros,0.028,29,30
292,116,Nova Suissa,1.252,332,150
293,118,Novo São Lucas,0.277,35,90
294,353,Nossa Senhora da Aparecida,0.134,35,90
295,152,Santo Agostinho,0.83,33,70
296,440,Vila Novo São Lucas,0.14,35,90
297,123,Palmeiras,1.446,332,150
298,218,Bairro Novo das Indústrias,0.753,333,160
299,6,Anchieta,0.696,35,90
300,372,Santana do Cafezal,0.175,35,90
301,354,Nossa Senhora da Conceição,0.203,35,90
302,72,Grajaú,0.426,34,80
303,39,Cidade Jardim,0.51,34,80
304,438,Vila Nova Gameleira III,0.015,37,110
305,339,Maravilha,0.004,37,110
306,146,Santa Maria,0.73,37,110
307,171,Saudade,0.596,28,20
308,406,Vila Coqueiral,0.062,29,30
309,487,Belém,0.002,28,20
310,216,Jardim Guanabara,1.151,39,130
311,163,Jardim São José,0.791,31,50
312,127,Pedreira Prado Lopes,0.151,30,40
313,323,Grota,0.007,28,20
314,58,Esplanada,0.825,28,20
315,461,Vila São Rafael,0.029,28,20
316,313,Conjunto Taquaril,1.096,28,20
317,178,Taquaril,0.421,28,20
318,335,Lorena,0.003,29,30
319,357,Conjunto Novo Dom Bosco,0.023,29,30
320,135,Renascença,0.86,32,60
321,431,Vila Nova Cachoeirinha I,0.059,30,40
322,464,Vila Sumaré,0.069,30,40
323,428,Vila Minaslândia,0.039,331,140
324,96,Liberdade,0.457,32,60
325,62,Eymard,0.594,27,10
326,477,Vila São Dimas,0.01,331,140
327,449,Vila Real I,0.002,31,50
328,147,Maria Goretti,0.778,27,10
329,149,Santa Rosa,0.688,32,60
330,34,Castelo,2.409,31,50
331,143,Santa Inês,1.129,26,0
332,177,Solimões,0.287,39,130
333,130,Planalto,2.515,39,130
334,447,Vila Primeiro de Maio,0.164,331,140
335,200,Trevo,1.644,31,50
336,352,Vila Nossa Senhora Aparecida,0.069,334,170
337,275,Bacurau,0.004,39,130
338,408,Vila da Paz,0.018,32,60
339,420,Vila Ipiranga,0.005,26,0
340,44,Conjunto Celso Machado,0.331,31,50
341,266,Indaiá,0.435,32,60
342,158,São Francisco,1.43,31,50
343,122,Palmares,0.697,32,60
344,470,São Sebastião,0.019,32,60
345,453,Vila Santa Rosa,0.029,32,60
346,183,União,1.541,27,10
347,364,Penha,0.214,27,10
348,419,Vila Inestan,0.021,32,60
349,173,Serrano,1.081,31,50
350,638,Vila São Tomáz,0.213,32,60
351,184,Universitário,0.499,32,60
352,454,Vila Santo Antônio,0.006,32,60
353,442,Vila Paquetá,0.011,31,50
354,466,Vila Suzana II,0.003,32,60
355,329,Itatiaia,0.193,31,50
356,284,Bela Vitória,0.069,27,10
357,289,Boa União II,0.018,331,140
358,133,Primeiro de Maio,0.176,331,140
359,351,Morro dos Macacos,0.015,27,10
360,15,Boa Vista,1.252,28,20
361,20,Cachoeirinha,1.3,32,60
362,64,Sumaré,0.155,30,40
363,358,Novo Ouro Preto,0.032,31,50
364,162,Vila São João Batista,0.087,38,120
365,389,Várzea da Palma,0.005,334,170
366,421,Vila Jardim Leblon,0.014,334,170
367,207,Jardim Felicidade,0.81,39,130
368,459,Vila São Paulo,0.074,27,10
369,395,Vila Jardim Alvorada,0.231,31,50
370,636,Vila Viveiro,0.069,39,130
371,637,Vila Alto dos Pinheiros,0.011,37,110
372,343,Mariano de Abreu,0.171,28,20
373,337,Manacás,0.732,31,50
374,397,Vila Antena Montanhês,0.025,31,50
375,167,São Paulo,0.497,27,10
376,120,Ouro Preto,2.37,31,50
377,450,Vila Real II,0.018,32,60
378,82,Ipiranga,0.893,26,0
379,71,Glória,1.654,29,30
380,249,Jardim Alvorada,0.883,31,50
381,117,Nova Vista,0.688,28,20
382,2,Alípio de Melo,1.181,31,50
383,112,Nova Floresta,0.427,26,0
384,3,Alto Caiçaras,1.064,30,40
385,165,São Marcos,0.584,27,10
386,388,Urca,0.289,31,50
387,53,Dom Joaquim,0.45,27,10
388,164,São Lucas,0.289,35,90
389,278,Barão Homem de Melo III,0.007,332,150
390,471,Vila Vista Alegre,0.37,37,110
391,269,Alpes,0.212,332,150
392,338,Vila Madre Gertrudes V,0.02,37,110
393,59,Estoril,1.703,332,150
394,300,Chácara Leonina,0.024,332,150
395,317,Esperança,0.083,333,160
396,446,Vila Piratininga (ZS),0.074,36,100
397,99,Luxemburgo,0.621,34,80
398,48,Coração de Jesus,0.284,34,80
399,344,Marieta I,0.047,36,100
400,341,Marçola,0.248,35,90
401,154,Santo Antônio,1.307,34,80
402,86,Jardim América,0.928,332,150
403,19,Cabana do Pai Tomás,0.503,37,110
404,437,Vila Nova Gameleira II,0.055,37,110
405,436,Vila Nova Gameleira I,0.022,37,110
406,214,Monte São José,0.035,34,80
407,101,Mangabeiras,6.19,35,90
408,226,João Paulo II,0.165,36,100
409,376,São João,0.06,333,160
410,334,Leonina,0.172,332,150
411,382,Vila Madre Gertrudes I,0.061,37,110
412,206,Olaria,0.629,36,100
413,302,Comiteco,0.766,35,90
414,399,Vila Bandeirantes,0.02,34,80
415,405,Vila COPASA,0.009,333,160
416,435,Vila Nova dos Milionários,0.012,333,160
417,467,Vila Tirol,0.008,36,100
418,142,Santa Helena,0.591,36,100
419,97,Lindéia,2.012,36,100
420,180,Tirol,1.755,36,100
421,233,Túnel de Ibirité,0.194,36,100
422,179,Teixeira Dias,0.733,36,100
423,228,Diamante,1.833,36,100
424,212,Fernão Dias,0.505,27,10
425,250,Pousada Santo Antônio,0.394,27,10
426,236,Marilândia,0.157,36,100
427,221,Araguaia,1.343,333,160
428,224,Santa Margarida,0.254,36,100
429,119,Olhos d'Água,3.662,332,150
430,270,Alta Tensão I,0.079,333,160
431,220,Bonsucesso,2.819,333,160
432,237,Santa Cecília,0.347,333,160
433,476,CDI Jatobá,0.877,333,160
434,232,Castanheira (ZS),0.397,333,160
435,63,Vila CEMIG,0.295,333,160
436,480,Bairro das Indústrias I,3.661,36,100
437,362,Pantanal,0.045,332,150
438,276,Bairro das Indústrias II,0.196,37,110
439,103,Marajó,0.271,332,150
440,13,Belvedere,2.921,34,80
441,490,Vila Vera Cruz II,0.001,28,20
442,491,Vila Vera Cruz I,0.008,28,20
443,222,Parque São José,0.339,332,150
444,415,Vila Havaí,0.009,332,150
445,474,Acaba Mundo,0.04,35,90
446,320,Estrela do Oriente,1.013,37,110
447,90,Jatobá,0.361,36,100
448,66,Flávio Marques Lisboa,1.238,333,160
449,229,Miramar,0.639,333,160
450,366,Pindura Saia,0.004,35,90
451,414,Vila FUMEC,0.003,35,90
452,328,Imbaúbas,0.048,37,110
453,110,Nova Cintra,0.727,37,110
454,377,São Jorge I,0.079,332,150
455,100,Madre Gertrudes,0.536,37,110
456,192,Virgínia,0.057,37,110
457,383,Sport Club,0.063,37,110
458,32,Carmo,0.314,35,90
459,176,Sion,1.197,34,80
460,70,Gameleira,1.017,37,110
461,418,Vila Independência IV,0.04,333,160
462,137,Sagrada Família,2.291,26,0
463,651,Irmã Dorothy,0.021,333,160
464,652,Camilo Torres,0.016,333,160
465,653,Dandara,0.258,31,50
466,16,Bom Jesus,0.275,30,40
467,223,Flávio de Oliveira,0.11,333,160
468,248,Distrito Industrial do Jatobá,0.908,333,160
469,282,Vila Batik,0.012,333,160
470,238,Conjunto Jatobá,0.141,333,160
471,23,Caiçaras,2.246,30,40
472,140,Santa Cruz,1.741,32,60
473,425,Vila Mangueiras,0.093,333,160
474,244,Mineirão,0.394,333,160
475,144,Santa Lúcia,2.1,34,80
476,124,Bandeirantes,4.777,31,50
477,145,Conjunto Santa Maria,0.081,34,80
478,219,Conjunto Bonsucesso,0.047,333,160
479,14,Betânia,1.311,37,110
480,76,Havaí,1.578,332,150
481,370,Santa Rita de Cássia,0.158,34,80
482,239,Cinquentenário,0.694,332,150
483,316,Vila Madre Gertrudes II,0.01,37,110
484,400,Vila Barragem Santa Lúcia,0.278,34,80
485,155,São Bento,0.98,34,80
486,227,Ademar Maldonado,0.164,36,100
487,243,Petrópolis,0.298,333,160
488,261,Vitória da Conquista,0.095,333,160
489,444,Vila Petrópolis,0.011,333,160
490,80,Independência,0.791,333,160
491,416,Vila Independência I,0.145,333,160
492,417,Vila Independência II,0.078,333,160
